"SystematicName","Row","Col","ControlType","ProbeName","logFC","AveExpr","t","P.Value","adj.P.Val","B","GenBank_accession","GENE_SYMBOL","GENE_NAME"
"chr5:22928221-22939127_R",297,58,0,"A_30_P01030591",1.49683110320581,6.19960885166712,8.32340098736503,1.49405899627467e-06,0.00166236034791384,5.5302754453904,"",NA,NA
"chr5:23195569-23218551_R",325,146,0,"A_30_P01019583",2.07391117324492,5.85083453079933,8.67821706510935,9.39955318576009e-07,0.0012247501497638,5.94501428471974,"",NA,NA
"chr5:52461266-52541416_R",145,96,0,"A_30_P01020464",1.11370285311467,9.85038591286238,5.29062993347135,0.00014858805767016,0.0164039481176911,1.23315231823861,"",NA,NA
"chr6:3333825-3349525_R",309,106,0,"A_30_P01029470",1.16226034846097,6.53990346967683,3.59821502097453,0.00401623056598258,0.0809201891838827,-1.88227242486597,"",NA,NA
"chr6:4841700-4847400_R",193,21,0,"A_30_P01017482",1.59476917750123,6.93222056063156,5.2024535112608,0.000223757192145076,0.0201221899655663,0.88138141941386,"",NA,NA
"chr7:128341797-128414692_R",176,66,0,"A_30_P01026095",1.23288064128279,9.09755267315251,5.64199279423545,8.18394710249722e-05,0.011816744995705,1.80388226277073,"",NA,NA
"chr8:35143801-35144482_F",6,45,0,"A_30_P01024113",1.13780940733827,7.05104078231409,5.02684461595047,0.000235121975632048,0.0204960863441287,0.792444332221848,"",NA,NA
"chr9:14460976-14488051_F",351,3,0,"A_30_P01020075",1.0259938740474,7.51032353634071,3.97077712858483,0.00161203110003534,0.0513902835794973,-1.06304757133569,"",NA,NA
"DCP_22_0",129,116,1,"DCP_22_0",2.87783878823233,6.86494443121348,6.29317648441157,0.000180958453094038,0.0179519010853517,1.27034792189106,"",NA,NA
"DCP_22_2",204,87,1,"DCP_22_2",2.86555608404605,6.54356342853186,5.25763421904073,0.000938027910635454,0.0400436977841316,-0.231247833556695,"",NA,NA
"DCP_22_4",150,106,1,"DCP_22_4",2.51119600905746,5.9045920656146,4.68570146575449,0.00198356849177217,0.0568407144060353,-0.948409857856256,"",NA,NA
"DCP_22_6",137,63,1,"DCP_22_6",1.42364231223497,5.30984420592747,3.77019161839455,0.00517147920166195,0.0916295969643841,-1.96842092489057,"",NA,NA
"DQ139285",239,107,0,"A_55_P2744717",-1.02802783778184,5.71020579955715,-4.51100523374843,0.000592313452741944,0.0318311902059188,-0.0974925436442131,"DQ139285","Rgs7","regulator of G protein signaling 7"
"E1A_r60_3",7,115,1,"(+)E1A_r60_3",1.59582769769192,5.80450348477862,5.87583872744996,7.08075752005643e-05,0.0110688040075923,1.97234185557588,"",NA,NA
"E1A_r60_a104",19,80,1,"(+)E1A_r60_a104",1.93721686049364,6.70569392591236,7.46557944775785,4.86389061505315e-06,0.00317243072357691,4.45581512685362,"",NA,NA
"E1A_r60_a22",2,46,1,"(+)E1A_r60_a22",2.95264145753404,6.80481281065012,6.1900595650197,0.000231534479435363,0.0204582169929245,1.05435143956572,"",NA,NA
"E1A_r60_n9",16,124,1,"(+)E1A_r60_n9",-2.02731120908942,6.71642847042604,-8.19660162767853,1.76919309282171e-06,0.00185912707504014,5.37795671892648,"",NA,NA
"ENSMUST00000020169.8",189,59,0,"A_51_P332917",1.00321419947379,6.42791542313514,4.19810448066944,0.0010538357713045,0.0421183108485921,-0.653231106891691,"BC005527","Enpp3","ectonucleotide pyrophosphatase/phosphodiesterase 3"
"ENSMUST00000029456.4",128,55,0,"A_66_P108659",1.47320258347495,5.60589957627801,7.39376651165307,5.39081739564289e-06,0.00328576570754388,4.36105751661022,"BC053731","Cd2","CD2 antigen"
"ENSMUST00000034085.7",34,7,0,"A_66_P101107",-1.02339592819043,7.32759436642271,-5.83269224802903,5.96361397548026e-05,0.0103105977504941,2.10562013545201,"XM_006531048","Brd7","bromodomain containing 7"
"ENSMUST00000040307.5",250,76,0,"A_55_P2133337",1.08699862389092,7.59860852193565,5.57490342250348,9.15892333993099e-05,0.0126761732908386,1.69637682396688,"","March9","membrane-associated ring finger (C3HC4) 9"
"ENSMUST00000042391.12",229,149,0,"A_55_P2095181",1.20105769270746,7.45075990713128,5.17353990666243,0.000181947825002027,0.0179871591110453,1.03879458734678,"AK135025","Fdxacb1","ferredoxin-fold anticodon binding domain containing 1"
"ENSMUST00000045075.2",113,73,0,"A_66_P131568",1.25775790299905,6.04181691341342,3.57611718133738,0.00498703502937004,0.0900250112513918,-2.03852159549082,"AK028662","Cd300ld","CD300 molecule-like family member d"
"ENSMUST00000045154.5",107,150,0,"A_51_P494597",2.58295908608556,8.72784969464321,6.74820463372714,5.80735254168422e-05,0.0102024216711415,2.26994252138694,"XM_011250230","Themis2","thymocyte selection associated family member 2"
"ENSMUST00000062356.6",339,53,0,"A_55_P2720510",1.93578591681246,9.42141909732029,5.30541956492565,0.000347568388102985,0.0248590294318612,0.55750389561379,"","Marcksl1","MARCKS-like 1"
"ENSMUST00000065533.2",272,63,0,"A_55_P2005315",1.00627910240449,9.35208729403917,5.14887689224835,0.00018992337985049,0.0184233956460008,0.997596999536693,"AK140012","Zfp672","zinc finger protein 672"
"ENSMUST00000069778.6",163,94,0,"A_55_P2719619",-1.17597634337666,4.92067595409198,-6.93424375135927,1.05743122483715e-05,0.0045483801808806,3.73639343290881,"AK044279","Impg2","interphotoreceptor matrix proteoglycan 2"
"ENSMUST00000077110.4",46,113,0,"A_52_P425092",2.14691550315552,7.37734450750763,5.07623470950438,0.00064812932408216,0.033648763490432,0.0103115174369206,"",NA,NA
"ENSMUST00000078267.4",53,108,0,"A_55_P2036813",-1.21693593887019,8.82184360782449,-4.10692076350616,0.00142744589057968,0.0488248394137149,-0.914573367426817,"AK018765","Hist3h2ba","histone cluster 3, H2ba"
"ENSMUST00000089398.8",285,122,0,"A_55_P2266178",1.39895269748724,5.62638446759586,4.18434028137332,0.00195106486904161,0.056411818474117,-1.10939400414927,"XM_006520477","Il2rb","interleukin 2 receptor, beta chain"
"ENSMUST00000091905.3",314,133,0,"A_55_P2073489",-1.69400549528155,5.61090416902739,-9.44684908854413,3.60604733367711e-07,0.000907130775095958,6.78808268198173,"",NA,NA
"ENSMUST00000092163.8",313,14,0,"A_52_P238027",2.32010597171961,11.0829381161975,8.89394537650773,8.75545800421113e-07,0.0012247501497638,6.00802354610561,"AK159276","Lyz2","lysozyme 2"
"ENSMUST00000099147.4",223,132,0,"A_55_P2183914",-1.14013429865538,4.92978841361296,-4.75754269658239,0.000685981276275232,0.0345054005983629,-0.125682699732723,"NM_001177666","Gm7120","predicted gene 7120"
"ENSMUST00000100731.8",72,78,0,"A_55_P2003199",1.05885775255467,5.80367055827305,5.872854271428,5.58267945997601e-05,0.00993069423060623,2.16843868539026,"AK141316","Setd1b","SET domain containing 1B"
"ENSMUST00000103291.1",309,51,0,"A_55_P2744870",1.0857355386062,5.83661595806731,6.31476097247372,2.74067788133498e-05,0.0072904006627479,2.84280152933178,"JX520705",NA,NA
"ENSMUST00000103291.1",226,54,0,"A_51_P210310",1.76359680618825,6.23029060792914,4.3394750206594,0.00183169969208923,0.0548205691073858,-1.00427082150283,"JX266613",NA,NA
"ENSMUST00000103299.2",63,163,0,"A_51_P478172",1.62996477437328,6.08877820563973,6.4583802309026,2.18756303985639e-05,0.00653936920234527,3.0553220991445,"U07661",NA,NA
"ENSMUST00000103299.2",299,26,0,"A_52_P102846",1.88997575283534,6.43632498703345,6.30090185653665,3.97429508875591e-05,0.00867389903120978,2.52822408614181,"U07661",NA,NA
"ENSMUST00000103410.2",105,158,0,"A_55_P2060897",2.44969466390717,6.25522717147961,8.74208415957109,1.12941485532666e-06,0.00130793155031656,5.78273945432213,"AM910933",NA,NA
"ENSMUST00000103410.2",103,10,0,"A_55_P2727321",1.41303145827787,7.24208596344356,5.69903679250646,7.44072073740688e-05,0.0113084802079547,1.89473869902447,"AK008450",NA,NA
"ENSMUST00000103426.2",238,80,0,"A_55_P2745508",2.30205844333699,6.88525355092803,8.94946275503247,6.65653491431793e-07,0.00103717468286773,6.25097054573272,"M13680",NA,NA
"ENSMUST00000108349.1",276,104,0,"A_55_P2158592",1.98620131037916,6.41728631541584,9.6457407176921,2.84157703719774e-07,0.000895807160976586,6.99452186389078,"AK041165","Sirpb1b","signal-regulatory protein beta 1B"
"ENSMUST00000108817.4",216,145,0,"A_52_P615375",-1.10517670288244,8.71237821916229,-4.78894722131999,0.000358517843103107,0.0253036007548331,0.386428912490668,"AK077568","Hist3h2a","histone cluster 3, H2a"
"ENSMUST00000110042.2",284,86,0,"A_55_P2925077",1.15939877467509,8.37190954822963,4.3622986799393,0.000777809884618015,0.03677004734674,-0.360274439988476,"XM_006516891","Sema4d","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D"
"ENSMUST00000119135.1",20,144,0,"A_55_P1998797",-1.02302725583348,10.0838577352596,-5.39860099095146,0.000123480104587138,0.0147354507064314,1.41054682928505,"",NA,NA
"ENSMUST00000121933.1",197,157,0,"A_55_P2722741",1.13303842947625,7.30624310393395,5.8248562485623,6.04107336768476e-05,0.0103565168655369,2.09333399712861,"",NA,NA
"ENSMUST00000122399.7",299,125,0,"A_55_P2042331",1.8387619026138,5.53006862750002,7.93488025320822,2.60336265785212e-06,0.00238270667773901,5.02891851443413,"AB032200","Gzmk","granzyme K"
"ENSMUST00000126478.1",40,47,0,"A_52_P539343",-1.04743644677242,6.22003021702516,-5.31287041362404,0.000143010603933819,0.0160834952631364,1.2698373054427,"XM_011241834","Saxo2","stablizer of axonemal microtubules 2"
"ENSMUST00000128909.7",138,44,0,"A_52_P54261",-1.11118139146811,6.0760243405436,-4.29447441410941,0.000891133151797337,0.0388317155141851,-0.48909789079512,"NM_178936","Tmem56","transmembrane protein 56"
"ENSMUST00000131176.7",64,27,0,"A_55_P2154719",1.06996830300221,6.11611233858898,4.4258991244807,0.000692041106299492,0.0346907001563292,-0.24757469494522,"AK134020",NA,NA
"ENSMUST00000133325.7",68,30,0,"A_55_P2740265",-1.03673849677309,6.05723229652653,-3.56451996325195,0.0039277930621735,0.0801736033500127,-1.88510804666066,"XR_386441","Got1","glutamic-oxaloacetic transaminase 1, soluble"
"ENSMUST00000142135.1",344,99,0,"A_55_P1988975",1.45679770842199,5.28685798266253,6.82148628902678,1.28685048872881e-05,0.00503363369892824,3.55523661172197,"AK080934","Ms4a4b","membrane-spanning 4-domains, subfamily A, member 4B"
"ENSMUST00000143168.7",87,16,0,"A_52_P76426",1.39753368459546,6.84174269663566,6.89700819621651,1.11810557526517e-05,0.00463116064733008,3.68436840330505,"BE988618","Sfpq","splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)"
"ENSMUST00000146392.7",313,152,0,"A_55_P2721250",1.05519181849293,7.72458151061582,4.59935544074379,0.000504420045442597,0.0296922359736931,0.0573931782196215,"AK162807","Mtch2","mitochondrial carrier homolog 2 (C. elegans)"
"ENSMUST00000151937.7",207,17,0,"A_55_P2731241",-1.18052020746345,6.16256642354069,-5.96988246623082,4.76419485341134e-05,0.00910249956083591,2.31915296899674,"AK045371","Slc25a12","solute carrier family 25 (mitochondrial carrier, Aralar), member 12"
"ENSMUST00000155076.2",366,5,0,"A_55_P2173210",1.49250983456943,8.47921925904406,5.3126426428094,0.000156543631206064,0.0168000397817408,1.19687788259946,"XM_011238171",NA,NA
"ENSMUST00000169692.1",353,26,0,"A_66_P106789",1.70080158798599,7.67180495080826,5.20763712833356,0.000267219239169072,0.0216373790397174,0.741377254733393,"",NA,NA
"ENSMUST00000171662.2",349,6,0,"A_55_P1986225",-1.23352448789161,9.06840149959788,-4.97687522353818,0.000256748760122767,0.0214568606674027,0.707819737350889,"",NA,NA
"ENSMUST00000175735.1",125,105,0,"A_55_P2717483",1.03093050874553,6.01871365240626,5.93563322598231,5.03765384674674e-05,0.00952872225112145,2.26612328345339,"","Arid2","AT rich interactive domain 2 (ARID, RFX-like)"
"ENSMUST00000178282.2",24,52,0,"A_51_P509679",3.36125166795466,7.86039577852981,9.33443979422217,2.26409203261796e-06,0.00210616233427715,5.16128483456453,"BC004786",NA,NA
"ENSMUST00000184255.1",344,119,0,"A_66_P124968",1.00462295840463,12.4031803962505,3.62404378637224,0.00360199863977329,0.0767538163026419,-1.795250447587,"",NA,NA
"ENSMUST00000185354.1",204,89,0,"A_66_P127728",-2.28284854641504,8.59778279868988,-3.97562387992999,0.00487538419198147,0.0890103876044218,-1.83958290609601,"XM_006515764","Rd3l","retinal degeneration 3-like"
"ENSMUST00000190101.1",66,49,0,"A_55_P2718453",1.0756802424701,9.09472230974366,5.2359160958687,0.000163299848486273,0.0168884506625362,1.14258731239142,"AK048498","Phip","pleckstrin homology domain interacting protein"
"ENSMUST00000190841.1",35,79,0,"A_66_P105830",-1.40405241607684,12.2412207211976,-6.98047235341408,9.86914291702486e-06,0.00444091259039933,3.80068691249191,"AK006445","1700028B04Rik","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 pseudogene"
"ENSMUST00000193981.1",207,94,0,"A_55_P2060547",2.95098503156866,8.78066337251569,4.27226894301179,0.00394639064768991,0.0804374774795847,-1.58010272194401,"",NA,NA
"ENSMUST00000194875.5",252,152,0,"A_66_P113339",-1.2109311222007,7.88315241233909,-6.27054264075046,2.93931963061406e-05,0.00744858326353019,2.7767139423117,"XM_006511856","Ip6k2","inositol hexaphosphate kinase 2"
"ENSMUST00000195192.1",172,4,0,"A_55_P1956598",1.2282711778259,5.66735104050136,4.99170328976513,0.000263528636551189,0.0216075544921924,0.691672361538839,"BC019489",NA,NA
"ENSMUST00000195192.1",231,52,0,"A_55_P2034655",1.10943038121947,5.63791656534447,4.60892992543772,0.000506192586679379,0.0297348844007467,0.0580821491541581,"LC037230",NA,NA
"ENSMUST00000195502.1",15,4,0,"A_55_P2177073",2.78175597983563,7.79340205024816,5.03923120016634,0.00121106771094837,0.0452077009073992,-0.480195888154418,"",NA,NA
"ENSMUST00000197160.1",285,121,0,"A_55_P2114187",1.45092899803968,6.0454169506307,7.5069828921664,4.58517763204998e-06,0.00309745124679376,4.51010095439243,"XR_887134",NA,NA
"ENSMUST00000206108.1",355,30,0,"A_66_P127844",1.05071526417015,5.22325153821853,5.81168049232906,6.17371079574484e-05,0.0105203369100463,2.07265380847771,"XR_391191","Gm9519","predicted gene 9519"
"ENSMUST00000208746.1",221,66,0,"A_55_P2183032",-1.04762739092334,7.73100857296859,-4.22069665156211,0.00101053087610257,0.0412664222544157,-0.612758875646462,"AK018745","Zfp787","zinc finger protein 787"
"ENSMUST00000211807.1",364,82,0,"A_52_P423810",-1.2209267153373,6.75090229432379,-6.54985293872118,1.89778115470313e-05,0.0062248318857589,3.18898593246043,"XM_006530752","Mt1","metallothionein 1"
"ENSMUST00000221825.1",104,152,0,"A_55_P2107207",1.29892929650215,7.41029453680975,6.48903232943218,2.08557241730197e-05,0.00638656983515247,3.10025874593893,"XR_382078","Gpr137b","G protein-coupled receptor 137B"
"ENSMUST00000223912.1",309,32,0,"A_52_P341489",-1.35921991061537,5.18304835815543,-4.28248316589615,0.00200291792821072,0.0570256856715635,-1.09049197346017,"NM_001039244","Gm7120","predicted gene 7120"
"ENSMUST00000229234.1",373,34,0,"A_66_P137566",-1.22030912207726,6.09403077247446,-6.74793381152877,1.40052106098866e-05,0.00521885187715545,3.47393900912657,"XR_383979","Khdrbs3","KH domain containing, RNA binding, signal transduction associated 3"
"ENSMUST00000232602.1",194,136,0,"A_55_P2727019",-1.47821035264095,5.77034037260388,-6.97596252454856,9.93569073824536e-06,0.00444091259039933,3.79442919960582,"AK005904","Rsph3a","radial spoke 3A homolog (Chlamydomonas)"
"LF193722",87,70,0,"A_55_P2019699",1.12213445532023,9.14073702089139,6.0647947177843,4.08497415693515e-05,0.00872333247638907,2.4651407411876,"NM_001139520","Samhd1","SAM domain and HD domain, 1"
"M14215",349,17,0,"A_51_P328613",1.33799646819809,7.93901953607462,3.73483375740247,0.00362324105452737,0.0769464122901031,-1.74350415734159,"M14215","Fcgr3","Fc receptor, IgG, low affinity III"
"NAP095950-001",177,97,0,"A_55_P2088145",1.78282133725833,6.88624003201031,5.94287037248787,6.49328285911797e-05,0.0106184823008833,2.05696390277795,"",NA,NA
"NAP097543-001",133,64,0,"A_55_P2109505",-1.20274006450431,11.6314856313753,-4.83041970477915,0.000340638099381,0.0244677328473099,0.439840212450758,"",NA,NA
"NAP097565-001",107,146,0,"A_55_P1990067",-2.15888379740491,8.09844663096874,-4.87679224189451,0.000967126089646526,0.0404726523735167,-0.35256687607141,"",NA,NA
"NAP097565-001",295,69,0,"A_55_P2028496",-1.02789042990039,9.69641677217333,-4.00247066510528,0.00151882771713161,0.0502541567397278,-1.00565190229463,"",NA,NA
"NAP111445-1",291,100,0,"A_55_P2107192",-1.18826626052344,12.8895752729952,-5.55114613039962,9.53277777126585e-05,0.012926739689907,1.65813995509569,"",NA,NA
"NM_001002896",331,96,0,"A_51_P298802",1.10027465862364,14.0223721860586,5.90733387597095,5.27606220011922e-05,0.00977490991325033,2.22216626608018,"NM_001002896","Bfsp2","beaded filament structural protein 2, phakinin"
"NM_001003817",324,55,0,"A_55_P2809338",1.42520822206979,7.52355468027033,6.34022087043178,2.63277538941417e-05,0.00718254035924552,2.88071310755631,"NM_001003817","Erbb2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"
"NM_001004174",144,106,0,"A_55_P2137049",1.66487878849281,10.4159423027495,7.44263393768748,5.02604577206921e-06,0.00321176649283529,4.42562136962362,"NM_001004174","AA467197","expressed sequence AA467197"
"NM_001005421",76,145,0,"A_52_P375312",1.38359088546136,7.33665751522921,3.62466102437592,0.00475259263026321,0.0881614477947976,-1.98164562171337,"NM_001005421","Amica1","adhesion molecule, interacts with CXADR antigen 1"
"NM_001005508",99,30,0,"A_51_P291227",1.08736169466999,5.82281884609159,4.54773915025387,0.000553984443113832,0.0310364197154526,-0.0329789089169994,"NM_001005508","Arhgap30","Rho GTPase activating protein 30"
"NM_001008233",94,36,0,"A_55_P2728287",1.04467047209415,7.73381174870758,5.66030836343555,7.93716535849645e-05,0.0116702783795476,1.83310966877404,"NM_001008233","Plekhn1","pleckstrin homology domain containing, family N member 1"
"NM_001012273",84,58,0,"A_51_P230103",1.56788943891316,8.0534660021399,7.36539315772535,5.61541151747694e-06,0.00328576570754388,4.32340786179131,"NM_001012273","Birc5","baculoviral IAP repeat-containing 5"
"NM_001012401",314,134,0,"A_51_P322022",-1.33420546018563,6.31974024993694,-4.05091283938556,0.0019405061747322,0.0562507580234898,-1.16070562398575,"NM_001012401","Hspb6","heat shock protein, alpha-crystallin-related, B6"
"NM_001013012",353,47,0,"A_55_P2728774",-1.01949350692359,5.96886222879577,-4.68047265682604,0.000435621989879428,0.0277897573248491,0.19874183177652,"NM_001013012","Zfp787","zinc finger protein 787"
"NM_001013365",22,90,0,"A_55_P2830665",2.11764593096217,8.520186678257,5.08584699396982,0.000634311037644327,0.0331436278371338,0.0295815491740568,"NM_001013365","Osm","oncostatin M"
"NM_001013368",170,84,0,"A_55_P2000833",1.10266451978182,6.06394680357136,5.78832681521843,6.41638539052213e-05,0.0105647327101253,2.03593160324965,"NM_001013368","E2f8","E2F transcription factor 8"
"NM_001013373",214,18,0,"A_55_P2177998",1.12463179227319,8.59316114717941,4.64244840512103,0.000466570510108202,0.028653185710054,0.132587807959585,"NM_001013373","Tmprss13","transmembrane protease, serine 13"
"NM_001014761",122,24,0,"A_51_P212741",-1.13246319008393,7.03761841625839,-3.7203182586315,0.0029259171212519,0.0694691075503928,-1.60377791321517,"NM_001014761","Scn2b","sodium channel, voltage-gated, type II, beta"
"NM_001024147",209,15,0,"A_55_P2034870",-1.01964547212376,5.48773662792398,-4.26215822423739,0.000996770057054245,0.0409867513677849,-0.585586067779654,"NM_001024147","Gm5868","predicted gene 5868"
"NM_001024474",269,30,0,"A_66_P124858",-1.07599473360524,9.23425091310661,-3.36601276379995,0.0060855554896811,0.0989186039134787,-2.28326691143012,"NM_001024474","Diras2","DIRAS family, GTP-binding RAS-like 2"
"NM_001024698",128,150,0,"A_52_P320261",-1.47928297102982,6.71714791703349,-7.37174653187039,5.56427174709666e-06,0.00328576570754388,4.33184879354657,"NM_001024698","Cpa2","carboxypeptidase A2, pancreatic"
"NM_001024931",196,92,0,"A_52_P674067",-1.11280939033893,5.97078305868315,-5.06553084130472,0.000219688215084429,0.0199211263683667,0.857714903569259,"NM_001024931","Rbfox3","RNA binding protein, fox-1 homolog (C. elegans) 3"
"NM_001025192",65,123,0,"A_55_P2818120",1.12037939797183,8.34251365880966,6.32721433396032,2.68732737179345e-05,0.00722712756930897,2.86135825035262,"NM_001025192","Cxadr","coxsackie virus and adenovirus receptor"
"NM_001033135",7,80,0,"A_51_P186161",1.280017332847,9.44305071886969,4.34693177620516,0.000948453412803307,0.0402242069577905,-0.514951537032664,"NM_001033135","Rnf149","ring finger protein 149"
"NM_001033161",282,120,0,"A_51_P288505",1.01880181169118,8.82954500420605,5.65860083333324,7.95983859286059e-05,0.0116702783795476,1.83038705958365,"NM_001033161","Tradd","TNFRSF1A-associated via death domain"
"NM_001033186",27,93,0,"A_55_P2059110",1.4811872827362,5.52457413316595,5.87551132847571,6.98793703599145e-05,0.0109898701272382,1.98317758741781,"NM_001033186","Skap1","src family associated phosphoprotein 1"
"NM_001033189",216,148,0,"A_55_P2097553",1.0724760123122,8.88890097024298,3.89277084808912,0.00193574937516595,0.0562208717211388,-1.2302678331761,"NM_001033189","C77080","expressed sequence C77080"
"NM_001033245",137,69,0,"A_66_P127452",1.79899918435374,7.60608783598544,3.75047134289842,0.00534551092709905,0.0928859960770289,-1.99974240247425,"NM_001033245","Hk3","hexokinase 3"
"NM_001033308",105,76,0,"A_55_P2048912",1.61162836374397,6.29422184946689,4.93732119892295,0.000441956230297436,0.0279585354383813,0.269392801234731,"NM_001033308","Themis2","thymocyte selection associated family member 2"
"NM_001033525",124,58,0,"A_51_P315890",1.06844995915955,6.79778573211298,4.37141227618372,0.000764874498790906,0.0365583993865872,-0.344097500170406,"NM_001033525","Kcnk6","potassium inwardly-rectifying channel, subfamily K, member 6"
"NM_001033543",137,109,0,"A_52_P301935",1.22957656827232,6.71410523858672,4.63998234220207,0.000468654886734962,0.0287151816385872,0.128291007454996,"NM_001033543","Il20rb","interleukin 20 receptor beta"
"NM_001033632",365,53,0,"A_51_P294555",2.20116098647551,8.22868507920569,4.51906010486197,0.00189116704875357,0.0555169550861466,-0.965352675221785,"NM_001033632","Ifitm6","interferon induced transmembrane protein 6"
"NM_001033711",5,76,0,"A_55_P2017759",1.33754937390559,7.18608763815317,5.04958631125281,0.000225917066039274,0.0202790319576518,0.830839747275983,"NM_001033711","Evi2a","ecotropic viral integration site 2a"
"NM_001033780",199,77,0,"A_66_P134453",1.12158674463603,5.47338324452913,4.30686602037668,0.00105923188806162,0.0421206121149661,-0.612909524984577,"NM_001033780","I830077J02Rik","RIKEN cDNA I830077J02 gene"
